Slot,Player,Fantasy Points,Roster URL
Alabama QB1,Ty Simpson,25.3,https://www.espn.com/college-football/player/_/id/5141426
Alabama QB2,Austin Mack,14.2,https://www.espn.com/college-football/player/_/id/5141602
Alabama RB1,Richard Young,2.5,https://www.espn.com/college-football/player/_/id/5141603
Alabama RB2,Daniel Hill,1.0,https://www.espn.com/college-football/player/_/id/5141604
Georgia QB1,Gunner Stockton,13.7,https://www.espn.com/college-football/player/_/id/5141608
Georgia QB2,Ryan Puglisi,5.9,https://www.espn.com/college-football/player/_/id/5141609
Georgia RB1,Roderick Robinson II,9.4,https://www.espn.com/college-football/player/_/id/5141610
Georgia RB2,Cash Jones,1.0,https://www.espn.com/college-football/player/_/id/5141611
